id,isv,translations,helperWords,match,?min,?avg,?max,Rmin,Rmax,comments
5101,a tako?e,"както и, също",,,,,,,,
1855,a,"и, но, а",,,,,,,,
24020,abak,"сметало, абак",,,,,,,,
6114,aba?ur,абажур,,,,,,,,
35658,abdikacija,абдикация,,,,,,,,
11,abdikovati,абдикирам,,,,,,,,
35691,abeceda,азбука (обикновено латиница),,,,,,,,
24026,Abhaz,абхаз,,,,,,,,
6165,Abhazija,Абхазия,,,,,,,,
36565,abhazsky,абхазки,,,,,,,,
24029,ablativ,"аблатив, отделителен падеж",,,,,,,,
6375,abo,или,,,,,,,,
24031,abolicionist,аболиционист,,,,,,,,
24032,abolicionizm,аболиционизъм,,,,,,,,
34768,abonement,абонамент,,,,,,,,
6117,abonent,абонат,,,,,,,,
6119,abonovati,абонирам,,,,,,,,
24038,abort,аборт,,,,,,,,
24039,abrakadabra,абракадабра,,,,,,,,
24042,abrikos,кайсия,,,,,,,,
24044,absces,абсцес,,,,,,,,
24045,abscisa,абсциса,,,,,,,,
15,absencija,"липса, отсъствие",,,,,,,,
24047,absint,абсент,,,,,,,,
24050,absolutizm,абсолютизъм,,,,,,,,
6123,absolutno,"абсолютно, напълно",,,,,,,,
6120,absolutny,"абсолютен, чист, пълен, истински",,,,,,,,
24054,absorbcija,абсорбация,,,,,,,,
19625,absorbovati,абсорбирам,,,,,,,,
24056,abstrahovati,абстрахирам се от,,,,,,,,
19626,abstrakcija,абстракция,,,,,,,,
35132,abstrakt,резюме,,,,,,,,
19627,abstraktny,абстрактен,,,,,,,,
6124,absurd,абсурд,,,,,,,,
35784,absurdnos?,абсурдност,,,,,,,,
6125,absurdny,абсурден,,,,,,,,
1986,aby,"затова, за да, с цел да, да би, да",,,,,,,,
17101,a?e,"въпреки че, макар че",,,,,,,,
35331,a?ekoli,"въпреки че, макар че",,,,,,,,
24065,adad?o,адажио,,,,,,,,
24067,adamovo jabl?ko,адамова ябълка,,,moderate,,,,,
24068,adaptacija,адаптация,,,moderate,,,,,
24069,adapter,адаптер,,,moderate,,,,,
24070,adaptovati,"адаптирам, пригаждам",,,,,,,,
24071,adekvatny,адекватен,,,,,,,,
6126,adept,послушник,,,,,,,,
24076,adjutant,адютант,,,,,,,,
2848,administracija,администрация,,,,,,,,
17108,administrativny,административен,,,,,,,,
96,administrator,администратор,,,,,,,,
24081,administrovati,"администрирам, управлявам, ръководя",,,,,,,,
24082,admiral,адмирал,,,,,,,,
24084,admira?stvo,адмиралтейство,,,,,,,,
35592,adopcija,осиновяване,,,,,,,,
19628,adoptovati,осиновявам,,,,,,,,
24086,adrenalin,адреналин,,,,,,,,
17109,adres,адрес,,,,,,,,
248,adresa,адрес,,,,,,,,
24089,adresat,"получател, адресат",,,,,,,,
4540,adresovati,адресирам,,,,,,,,
36739,Adriati?sko morje,Адриатическо море,,,,,,,,
24093,adventist,адвентист,,,,,,,,
97,advokat,адвокат,,,,,,,,
24096,advokatura,адвокатура,,,,,,,,
36566,Ad?arija,Аджария,,,,,,,,
36348,aerodinami?ny,аеродинамичен,,,,,,,,
36349,aerodinamika,аеродинамика,,,,,,,,
33084,aerodrom,летище,,,,,,,,
3423,aeronavti?ny,"авиационен, въздухоплавателен",,,,,,,,
3424,aeronavtika,"въздухоплаване, аеронавтика",,,,,,,,
6129,aeroplan,самолет,,,,,,,,
99,aeroport,летище,,,,,,,,
19629,afazija,афазия,,,,,,,,
