id,isv,translations,helperWords,match,?min,?avg,?max,Rmin,Rmax,comments
5101,a tako?e,"a tak?e, a tak?, rovn??, stejn? jako, takt??, a taky",,,,,,,,
1855,a,"a tak?e, a tak?, rovn??, stejn? jako, takt??, a taky",,,,,,,,
24020,abak,"po??tadlo, abakus",,,,,,,,
6114,aba?ur,"st?nidlo, st?n?tko, aba??r (zastarale)",,,,,,,,
35658,abdikacija,abdikace,,,,,,,,
11,abdikovati,abdikovat,,,,,,,,
35691,abeceda,abeceda,,,,,,,,
24026,Abhaz,Abch?zec,,,,,,,,
6165,Abhazija,Abch?zie,,,,,,,,
36565,abhazsky,abch?zsk?,,,,,,,,
24029,ablativ,"ablativ, odlu?n?k ",,,,,,,,
6375,abo,"nebo, ?i, anebo, aneb, neboli",,,,,,,,
24031,abolicionist,abolicionista,,,,,,,,
24032,abolicionizm,abolicionismus,,,,,,,,
34768,abonement,"p?edplatn?, permanentka",,,,,,,,
6117,abonent,"odb?ratel, p?edplatitel, abonent",,,,,,,,
6119,abonovati,"p?ihl?sit se, zapojit se, podepsat se (k odb?ru)",,,,,,,,
24038,abort,potrat,,,,,,,,
24039,abrakadabra,abrakadabra,,,,,,,,
24042,abrikos,meru?ka,,,,,,,,
24044,absces,"absces, bol?k, v?ed",,,,,,,,
24045,abscisa,?se?ka,,,,,,,,
15,absencija,"absence, nep??tomnost",,,,,,,,
24047,absint,absint,,,,,,,,
24050,absolutizm,absolutismus,,,,,,,,
6123,absolutno,"absolutn?, naprosto, ?pln?",,,,,,,,
6120,absolutny,"absolutn?, ?pln?, naprost?",,,,,,,,
24054,absorbcija,"pohlcen?, vst?eb?v?n?, absorpce",,,,,,,,
19625,absorbovati,"absorbovat, pohlcovat, vst?eb?vat",,,,,,,,
24056,abstrahovati,abstrahovat,,,,,,,,
19626,abstrakcija,abstrakce,,,,,,,,
35132,abstrakt,"abstrakt, resum?, souhrn, sum??",,,,,,,,
19627,abstraktny,abstraktn?,,,,,,,,
6124,absurd,absurdita,,,,,,,,
35784,absurdnos?,absurdnost,,,,,,,,
6125,absurdny,absurdn?,,,,,,,,
1986,aby,"aby, ?e by",,,,,,,,
17101,a?e,"a?koli, i kdy?",,,,,,,,
35331,a?ekoli,"a?koli, p?esto?e, i kdy?",,,,,,,,
24065,adad?o,adagio (hudba),,,,,,,,
24067,adamovo jabl?ko,"ohryzek,  Adamovo jablko",,,moderate,,,,,
24068,adaptacija,"adaptace, p?izp?soben?",,,moderate,,,,,
24069,adapter,adapt?r,,,moderate,,,,,
24070,adaptovati,"adaptovat, p?izp?sobit",,,,,,,,
24071,adekvatny,"adekv?tn?, odpov?daj?c?",,,,,,,,
6126,adept,"p??vr?enec, stoupenec",,,,,,,,
24076,adjutant,"pobo?n?k, pomocn?k",,,,,,,,
2848,administracija,"spr?va, administrace",,,,,,,,
17108,administrativny,"spr?vn?, administrativn?",,,,,,,,
96,administrator,"spr?vce, administr?tor",,,,,,,,
24081,administrovati,"spravovat, administrovat",,,,,,,,
24082,admiral,admir?l,,,,,,,,
24084,admira?stvo,admiralita,,,,,,,,
35592,adopcija,"adopce, osvojen?, p?ijet?",,,,,,,,
19628,adoptovati,"adoptovat, osvojit, p?ijmout",,,,,,,,
24086,adrenalin,adrenalin,,,,,,,,
17109,adres,adresa,,,,,,,,
248,adresa,adresa,,,,,,,,
24089,adresat,adres?t,,,,,,,,
4540,adresovati,adresovat,,,,,,,,
36739,Adriati?sko morje,Jadersk? mo?e,,,,,,,,
24093,adventist,adventista,,,,,,,,
97,advokat,"advok?t, pr?vn?k",,,,,,,,
24096,advokatura,"advokatura, advokacie",,,,,,,,
36566,Ad?arija,Ad??rie,,,,,,,,
