id,isv,translations,helperWords,match,Δmin,Δavg,Δmax,Rmin,Rmax,comments
8668,-kråtno,-krotnie,,,,,,,,
309,-lětıje,-lecie,,,,,,,,
36406,#vykati,mówić na «vy»,,,,,,,,
1855,a,a,,,,,,,,
5101,a takože,"oraz, a także",,,,,,,,
24020,abak,"abak, abakus",,,,,,,,
6114,abažur,abażur,,,,,,,,
35658,abdikacija,abdykacja,,,,,,,,
11,abdikovati,abdykować,,,,,,,,
35691,abeceda,abecadło,,,,,,,,
24026,Abhaz,Abchaz,,,,,,,,
6165,Abhazija,Abchazja,,,,,,,,
36565,abhazsky,abchaski,,,,,,,,
24029,ablativ,ablatyw,,,,,,,,
6375,abo,"albo, lub",,,,,,,,
24031,abolicionist,abolicjonista,,,,,,,,
24032,abolicionizm,abolicjonizm,,,,,,,,
34768,abonement,"abonament, prenumerata, bilet okresowy",,,,,,,,
6117,abonent,"abonent, prenumerator",,,,,,,,
6119,abonovati,"abonować, prenumerować",,,,,,,,
24038,abort,aborcja,,,,,,,,
24039,abrakadabra,abrakadabra,,,,,,,,
24042,abrikos,morela,,,,,,,,
24044,absces,ropień,,,,,,,,
24045,abscisa,odcięta,,,,,,,,
15,absencija,nieobecność,,,,,,,,
24047,absint,absynt,,,,,,,,
24050,absolutizm,absolutyzm,,,,,,,,
6123,absolutno,absolutnie,,,,,,,,
6120,absolutny,"absolutny, kompletny, zupełny",,,,,,,,
24054,absorbcija,absorpcja,,,,,,,,
19625,absorbovati,"absorbować, pochłaniać",,,,,,,,
24056,abstrahovati,abstrahować,,,,,,,,
19626,abstrakcija,abstrakcja,,,,,,,,
35132,abstrakt,"abstrakt, streszczenie",,,,,,,,
19627,abstraktny,abstrakcyjny,,,,,,,,
6124,absurd,"absurd, niedorzeczność",,,,,,,,
35784,absurdnosť,absurdalność,,,,,,,,
6125,absurdny,"absurdalny, niedorzeczny",,,,,,,,
1986,aby,"aby, żeby",,,,,,,,
17101,ače,"aczkolwiek, chociaż",,,,,,,,
35331,ačekoli,"aczkolwiek, chociaż",,,,,,,,
24065,adadžo,adagio (muzyka),,,,,,,,
24067,adamovo jablòko,jabłko Adama,,,,,,,,
24068,adaptacija,"adaptacja, przysposobienie",,,,,,,,
24069,adapter,"adapter, przejściówka",,,,,,,,
24070,adaptovati,adaptować,,,,,,,,
24071,adekvatny,"adekwatny, wystarczający, zadowalający",,,,,,,,
6126,adept,"stronnik, zwolennik",,,,,,,,
24076,adjutant,pomocnik,,,,,,,,
2848,administracija,administracja,,,,,,,,
17108,administrativny,administracyjny,,,,,,,,
96,administrator,administrator,,,,,,,,
24081,administrovati,zarządzać,,,,,,,,
24082,admiral,admirał,,,,,,,,
24084,admiraľstvo,admiralicja,,,,,,,,
