id,isv,translations,helperWords,match,Δmin,Δavg,Δmax,Rmin,Rmax,comments
8668,-kråtno,-кратно,,C,0,,,,,
309,-lětıje,-летие,,C,0,,,,,
36406,#vykati,"выкать, обращаться на «вы»",,C,0,,,,,
1855,a,"а, да",,C,0,,,,,
5101,a takože,а также,,C,0,,,,,
24020,abak,"счёты, абак, абака",,C,0,,,,,
6114,abažur,абажур,,C,0,,,,,
35658,abdikacija,"отречение, абдикация, сложение полномочий",,C,0,,,,,
11,abdikovati,отрекаться,абдикация,H,0,,,,,
35691,abeceda,алфавит,а-бэ-цэ-дэ,H,moderate,,,,,
24026,Abhaz,"абхаз, абхазец",,C,0,,,,,
6165,Abhazija,Абхазия,,C,0,,,,,
36565,abhazsky,абхазский,,C,0,,,,,
24029,ablativ,"отложительный падеж, аблатив (грам.)",,C,0,,,,,
6375,abo,"или, либо","або (ред., диал.)",H,0,,,,,
24031,abolicionist,аболиционист,,C,0,,,,,
24032,abolicionizm,аболиционизм,,C,0,,,,,
34768,abonement,"абонемент, подписка",,C,0,,,,,
6117,abonent,"абонент, подписчик",,C,0,,,,,
6119,abonovati,"подписываться, абонировать",абонент,C,moderate,,,,,
24038,abort,аборт,,C,0,,,,,
24039,abrakadabra,абракадабра,,C,0,,,,,
24042,abrikos,абрикос,,C,0,,,,,
24044,absces,"абсцесс, нарыв, гнойник",,C,0,,,,,
24045,abscisa,абсцисса,,C,0,,,,,
15,absencija,отсутствие,"абсент, абстиненция",!N,moderate,,,,,
24047,absint,абсент,,C,,,,,,
24050,absolutizm,абсолютизм,,!C,,,,,,
6123,absolutno,абсолютно,,!C,,,,,,
6120,absolutny,"абсолютный, полнейший",,!C,,,,,,
24054,absorbcija,"абсорбция, поглощение",,C,,,,,,
19625,absorbovati,"абсорбировать, поглощать",,C,,,,,,
24056,abstrahovati,абстрагировать,,C,,,,,,
19626,abstrakcija,абстракция,,C,,,,,,
35132,abstrakt,"реферат, резюме, конспект, сокращение",,!N,,,,,,
19627,abstraktny,"абстрактный, отвлечённый",,C,,,,,,
6124,absurd,"абсурд, нелепость, бессмыслица",,C,,,,,,
35784,absurdnosť,абсурдность,,C,,,,,,
6125,absurdny,"абсурдный, нелепый, несуразный",,C,,,,,,
1986,aby,"чтобы, дабы, для того чтобы, с тем чтобы",абы (устар.),H,,,,,,
17101,ače,хотя,аще (церк.),H,moderate,,,,,
35331,ačekoli,"хотя, даже притом что",аще (церк.) + коли (устар.),H,moderate,,,,,
24065,adadžo,адажио,,C,moderate,,,,,
24067,adamovo jablòko,"кадык, выступ гортани, адамово яблоко",,C,,,,,,
24068,adaptacija,адаптация,,C,,,,,,
24069,adapter,"адаптер, переходник",,C,,,,,,
24070,adaptovati,адаптировать,,C,,,,,,
24071,adekvatny,"адекватный, удовлетворяющий",,C,,,,,,
6126,adept,"адепт, последователь",,C,,,,,,
24076,adjutant,адъютант,,C,,,,,,
2848,administracija,администрация,,C,,,,,,
17108,administrativny,административный,,C,,,,,,
96,administrator,администратор,,C,,,,,,
24081,administrovati,администрировать,,C,,,,,,
24082,admiral,адмирал,,C,,,,,,
24084,admiraľstvo,адмиралтейство,,!C,,,,,,
35592,adopcija,"усыновление, удочерение",,!N,,,,,,
19628,adoptovati,"усыновлять, удочерять",,!N,,,,,,
24086,adrenalin,адреналин,,C,,,,,,
17109,adres,адрес,,C,,,,,,
248,adresa,адрес,,!C,,,,,,
24089,adresat,адресат,,C,,,,,,
4540,adresovati,адресовать,,C,,,,,,
36739,Adriatičsko morje,Адриатическое море,,!C,,,,,,
24093,adventist,адвентист,,C,,,,,,
97,advokat,адвокат,,C,,,,,,
24096,advokatura,адвокатура,,C,,,,,,
36566,Adžarija,Аджария,,C,,,,,,
36348,aerodinamičny,аэродинамический,,C,,,,,,
36349,aerodinamika,аэродинамика,,C,,,,,,
33084,aerodrom,аэродром,,C,,,,,,
3423,aeronaùtičny,воздухоплавательный,,!N,,,,,,
3424,aeronaùtika,воздухоплавание,,!N,,,,,,
6129,aeroplan,"самолёт, аэроплан",,C,,,,,,
99,aeroport,аэропорт,,C,,,,,,
19629,afazija,афазия,,C,,,,,,
19630,afektivny,"эмоциональный, афективный",,C,,,,,,
35513,afera,"афера, измена, адюльтер",,C,,,,,,
5754,Afganistan,Афганистан,,C,,,,,,
5755,afgansky,афганский,,C,,,,,,
36756,aforizm,афоризм,,C,,,,,,
4743,Afrika,Африка,,C,,,,,,
36719,Afrikanėc,африканец,,C,,,,,,
36720,Afrikanka,африканка,,C,,,,,,
106,afrikansky,африканский,,C,,,,,,
32850,afrikansky mråvojěd,африканский трубкозуб,,!H,,,,,,
24102,Afroamerikanèc,афроамериканец,,C,,,,,,
24105,Afroamerikanèc,агава,,!N,,,,,,
36283,afrodiziak,афродизиак,,C,,,,,,
113,agencija,агентство,,!N,,,,,,
24107,agent,агент,,C,,,,,,
24110,agentura,агентура,,C,,,,,,
24111,agitacija,агитация,,C,,,,,,
24112,agitator,агитатор,,C,,,,,,
24113,agitka,"агитка, агитационная листовка",,C,,,,,,
24114,agitovati,агитировать,,C,,,,,,
35785,aglomeracija,агломерация,,C,,,,,,
19631,aglutinacija,агглютинация,,!C,,,,,,
24116,aglutinativny,агглютинативный,,!C,,,,,,
24118,agnosticizm,агностицизм,,C,,,,,,
24119,agnostik,агностик,,C,,,,,,
24120,agonija,агония,,C,,,,,,
24121,agonizovati,"агонизировать, мучиться",,C,,,,,,
24124,agrarny,аграрный,,C,,,,,,
24125,agregat,агрегат,,C,,,,,,
24127,agresija,агрессия,,!C,,,,,,
24128,agresivny,агрессивный,,C,,,,,,
24129,agresor,агрессор,,!C,,,,,,
24130,agrikultura,"сельское хозяйство, земледелие",,!N,,,,,,
24131,agronom,агроном,,C,,,,,,
24132,agronomičny,агрономический,,C,,,,,,
24133,agronomija,агрономия,,C,,,,,,
24134,ah,ах,,C,,,,,,
24135,aha,ага,,C,,,,,,
4886,ahoj,привет,,!N,,,,,,
24136,aj,"ай!, ой!",,!H,,,,,,
24137,ajsberg,айсберг,,C,,,,,,
24138,akacija,акация,,C,,,,,,
16262,akademičsky,академический,,C,,,,,,
4639,akademija,академия,,C,,,,,,
24141,akademik,академик,,C,,,,,,
34994,akanıje,аканье,,C,,,,,,
6130,akcent,"акцент, ударение",,C,,,,,,
24148,akcentovati,"акцентировать, подчёркивать",,C,,,,,,
24149,akcentuacija,"выделение, акцентирование",,!H,,,,,,
4951,akceptacija,"акцептация, принятие",,C,,,,,,
111,akceptovati,"акцептовать, принимать",,C,,,,,,
115,akcija,акция (ценная бумага),,C,,,,,,
2849,akcija,"акция, действие",,C,,,,,,
24152,akcioner,акционер,,C,,,,,,
24153,akcionerny kapital,акционерный капитал,,C,,,,,,
24154,akciz,акциз,,C,,,,,,
24155,aklimatizacija,акклиматизация,,C,,,,,,
24156,aklimatizovati,акклиматизироваться,,!C,,,,,,
6387,akne,"акне, прыщ, угорь",,C,,,,,,
17076,ako,если,,!N,,,,,,
17110,ako,"как, в качестве",,!N,,,,,,
17112,ako by,будто,,!N,,,,,,
17113,ako by,если бы,,!N,,,,,,
17114,ako by,в случае,,!N,,,,,,
6133,ako li,если,,!N,,,,,,
23672,ako ne,если не,,!N,,,,,,
32593,akolada,акколада (муз.),,!C,,,,,,
36472,akolada,"акколада, посвящение в рыцари",,!C,,,,,,
24161,akomodacija,аккомодация,,C,,,,,,
24162,akomodovati,расквартировывать,,!N,,,,,,
24163,akompanement,аккомпанемент,,C,,,,,,
24164,akompaniator,аккомпаниатор,,C,,,,,,
24165,akompanovati,"аккомпанировать, сопровождать",,C,,,,,,
24167,akord,аккорд,,!C,,,,,,
24168,akordeon,аккордеон,,!C,,,,,,
24169,akr,акр,,C,,,,,,
