"disabled","id","flavorizationLevel","match","flags","partOfSpeech","genesis","replacement1","replacement2","replacement3","replacement4","replacement5"
"SECTION","Prědložniky:",,,,,,,,,,
,"P1",,"^iz",,,,"vy","z","ze","s","se"
,"P2",,"^råz",,,,"roz",,,,
,"P3",,"^sų",,,,"s","se","sou",,
,"P4",,"^vȯz",,,,"vz",,,,
"SECTION","Koncovky",,,,,,,,,,
,"Ko1",,"^sę$","BY-WORD","v.",,"se",,,,
,"Ko2",,"ti$","BY-WORD","v.",,"t",,,,
,"Ko3",,"nųt$","BY-WORD","v.",,"nout",,,,
,"Ko4",,"jųći","BY-WORD",,,"jící",,,,
,"Ko5",,"ȯ(.)$","BY-WORD",,,"e$1",,,,
,"Ko6",,"ŕ$",,,,"ř",,,,
,"Ko7",,"(\ )sę",,,,"$1se",,,,
,"Ko8",,"mę$",,,,"mě",,,,
"SECTION","Dvojice",,,,,,,,,,
,"D1",,"đu",,,,"zi",,,,
,"D2",,"ću",,,,"ci",,,,
,"D3",,"ju",,,"S?","ji",,,,
,"D4",,"šč|šć",,,,"šť",,,,
,"D5",,"dj",,,,"ď",,,,
,"D6",,"tj",,,,"ť",,,,
,"D7",,"nj",,,"S?","ň",,,,
,"Drj1",,"rj",,,,"ř",,,,
"SECTION","Kornji",,,,,,,,,,
,"Root1",,"råb","BY-WORD",,,"rob",,,,
"SECTION","Bukvy",,,,,,,,,,
,"B1",,"å",,,,"a",,,,
,"B2",,"ć",,,,"c",,,,
,"B3",,"đ",,,,"z","dj",,,
,"B4",,"ę",,,,"je","ja",,,
,"B5",,"ė",,,,"е",,,,
,"B6",,"h",,,"S?","cx",,,,
,"B7",,"h",,,,"h","cx",,,
,"B8",,"cx",,,,"ch",,,,
,"B9",,"g",,,"S?","h",,,,
,"B10",,"ľ",,,,"l",,,,
,"B11",,"ń",,,,"ň",,,,
,"B12",,"ŕ",,,,"r",,,,
,"B13",,"ś",,,,"s",,,,
,"B14",,"ų",,,,"u","ou",,,
,"B15",,"ź",,,,"z",,,,
,"B16",,"ȯ",,,,"e","NULL",,,
,"Oj",,"jj",,,,"j",,,,
"SECTION","Koncovky",,,,,,,,,,
,"K11",,"([čšžř])at$",,"v.",,"$1et",,,,
,"K12",,"vjat$",,"v.",,"vět",,,,
,"K13",,"njat$",,"v.",,"nit",,,,
"SECTION","Imenniky",,,,,,,,,,
,"I1",,"izm$",,,,"ismus",,,,
,"I2",,"ator$",,"m.anim.",,"átor",,,,
,"I3",,"ist$",,"m.anim.",,"ista",,,,
,"I4",,"([^čdt])([aeěiouy])lo$",,"*n.",,"$1$2dlo",,,,
,"I4b",,"(.+)([dt])([aeěiouy])lo$",,"*n.",,"$1$2$3dlo",,,,
,"I5",,"([a-z]{2,})ija$",,"f.",,"$1ie","$1sko","$1e",,
,"I6",,"([žščřcjďťň])aní$",,"n.",,"$1ení",,,,
,"I7",,"([cčsšrřzžbvmplľdďtťnň])j([aei])$",,"n.",,"$1jí",,,,
,"I8a",,"([^aeěiouy])ňa$",,"f.",,"$1eň","$1na",,,
,"I8b",,"ňa$",,"f.",,"ně","ň",,,
,"I9",,"([cčšřžjľďťň])a$",,"f.","S?","$1e",,,,
,"I10",,"ij$",,"m.","I","ium",,,,
,"I11",,"sť$",,"f.",,"st",,,,
"SECTION","Trojice",,,,,,,,,,
,"T1",,"srě|črě",,,,"stře",,,,
,"T2",,"cvě",,,,"kvě",,,,
,"T3",,"([bcfghklľmpqrsšvzžďťň])ju",,,"S?","$1i",,,,
,"T4",,"mhl",,,,"mlh",,,,
"SECTION","Dvojice",,,,,,,,,,
,"Dri",,"ri([^aeěiouy])",,,"S?","ři$1",,,,
,"Drě",,"rě",,,,"ře","ří",,,
,"Dj",,"([bcčfghklmpqřsšvzžďťň])j",,,,"$1",,,,
,"Dě",,"([cčsšrřzžjlďťň])ě",,,,"$1e",,,,
,"Drj2",,"rj",,,,"ř",,,,
"SECTION","Redukciji",,,,,,,,,,
,"R1",,"čr([^t])",,,,"čer$1",,,,
,"R2",,"([ij])dt",,,,"jít",,,,
,"R3",,"av([rt])",,,,"au$1",,,,
"SECTION","Pridavniky",,,,,,,,,,
,"A1",,"ny$",,"adj.",,"ný","ní",,,
,"A2",,"y$",,"adj.",,"ý",,,,
,"A3",,"i$",,"adj.",,"í",,,,
"SECTION","Glagoly",,,,,,,,,,
,"G1",,"kt$",,"v.",,"ct","ci",,,
,"G2",,"([bdghmnrv])t$",,"v.",,"$1at",,,,
"!",,,"avat$",,"v.",,"ávat",,,,
"!",,,"evat$",,"v.",,"évat","ovat",,,
"!",,,"ivat$",,"v.",,"ívat",,,,
"!",,,"yvat$",,"v.",,"ývat",,,,
"SECTION","Popravky cs pravopisanja",,,,,,,,,,
,"Om",,"mje",,,,"mě",,,,
,"Ov",,"vje",,,,"vě",,,,
,"O3",,"ďí|ďi",,,,"dí",,,,
,"O4",,"ťí|ťi",,,,"tí",,,,
,"O5",,"ňí|ňi",,,,"ní",,,,
,"O6",,"ďe",,,,"dě",,,,
,"O7",,"ťe",,,,"tě",,,,
,"O8",,"ňe",,,,"ně",,,,
,"Oss1",,"ss",,"v.",,"ses",,,,
,"Oss2",,"ss",,,,"s",,,,
,"Oks",,"ks",,,,"x",,,,
