disabled,name,flavorizationLevel,match,modifiers,partOfSpeech,genesis,replacement1,replacement2,replacement3,replacement4,replacement5
,de-Janizator,MSE,è-e ı-i ŀ-l ò-ȯ ù-u ṙ-r ’-,map,,,,,,,
,Western D,E,ḓ,regexp,,,d,NULL,,,
,Å-O,E,å,regexp,,,o,ó,,,
,Ć-C,E,ć,regexp,,,c,,,,
,RI->RZY,SE,ri,regexp,,,rzy,ri,,,
,RĚ-> RZE,SE,rě,regexp,,,rze,,,,
,ŃJE -> NIE,E,ńje,regexp,,,nie,,,,
,TI,E,ti\b,regexp,,,ć,cia,ci,,
,ŠI->SZY,SE,ši,regexp,,,szy,,,,
SECTION,LEHITIC AND POLISH APOPHONY,,,,,,,,,,
,Ě + CORONAL,SE,ě([tdnszrl]),regexp,,,ia,a,,,
-,E + CORONAL,SE,,,,,,,,,
-,Ę + CORONAL,E,,,,,,,,,
,Ě + CORONAL CORRECTION,SE,ria,regexp,,,rza,,,,
,Nasal E,E,ę,regexp,,,ę,ą,,,
,Nasal U,E,ų,regexp,,,ą,,,,
,L Hard,E,l,regexp,,,ł,l,,,
,L Soft,E,ĺ,regexp,,,l,,,,
,T-C,E,^t,regexp,,,t,c,,,
,IE,E,([^i])e,regexp,,,$1ie,$1e,,,
,Polonize,SE,h-ch ž-ż š-sz č-cz v-w,map,,,,,,,
