"disabled","name","flavorizationLevel","match","modifiers","partOfSpeech","genesis","replacement1","replacement2","replacement3","replacement4","replacement5"
"SECTION","Этимологическая русификация",,,,,,,,,,
,"ORO-OLO","E","(\S)([lr])å","regexp",,,"$1$2a","$1o$2o",,,
,"Å-O","E","å","regexp",,,"å","o",,,
,"Č-ŠČ","E","ć","regexp",,,"č","šč",,,
,"ZŽ","E","žđ","regexp",,,"zž",,,,
,"ŽD","E","đ","regexp",,,"žd","dž","ž",,
,"Western D","E","ḓ","regexp",,,"NULL",,,,
,"Little Yus (J)","E","ję","regexp",,,"ja",,,,
,"Little Yus (Non-J)","E","ę","regexp",,,"ьa","е",,,
,"G/H/?","E","h([aeiouy])","regexp",,,"h$1","g$1","$1",,
,"Big Yus VU","E","vų","regexp",,,"u",,,,
,"Big Yus JU","E","jų","regexp",,,"ju",,,,
,"Big Yus","E","ų","regexp",,,"u","o",,,
,"U/W","E","ù","regexp",,,"v","u",,,
,"Fleeting E","E","[ėè]","regexp",,,"e","NULL",,,
,"Fleeting O","E","[òȯ]","regexp",,,"o","NULL",,,
,"Syllabic Soft R","E","([^aåeěėęijoȯuųy])ŕ([^aåeěėęijoȯuųy])","regexp",,,"$1jer$2","$1rje$2","$1rjo$2",,
,"Syllabic Hard R","E","([^aåeěėęijoȯuųy])[rṙ]([^aåeěėęijoȯuųy])","regexp",,,"$1or$2","$1ro$2","$1er$2","$1re$2",
,"Syllabic L","E","([^aåeěėęijoȯuųy])[ŀl]([^aåeěėęijoȯuųy])","regexp",,,"$1oŀ$2","$1joŀ$3","$1ŀo$3","$1ŀjo$3",
,"Syllabic R/L - Finalization","E","ṙ-r ŀ-l","map",,,,,,,
,"Softening","E","ď-dь ľ-lь ń-nь ŕ-rь ś-sь ť-tь ź-zь","map",,,,,,,
,"Softening-LjNj","SE","lj-ль nj-нь","map",,,,,,,
,"Softening-Rj","SE","rj","regexp",,,"rь","r",,,
,"IIJ","E","ıji","regexp",,,"ij",,,,
,"I-Ь","E","ı","regexp",,,"и","ь",,,
,"Yat-L","E","(\S)lě","regexp",,,"$1le","$1ele","$1olo",,
,"Yat-R","E","(\S)rě","regexp",,,"$1re","$1ere","$1ri","$1er",
,"Yat","MSE","ě","regexp",,,"e",,,,
,"Iz-","E","^(ne|bez)?iz","regexp",,,"$1vy","$1iz","$1s",,
,"Muffled Z","SE","z([pftsšk])","regexp",,,"s$1",,,,
,"Prefix Separator","MSE","’","regexp",,,"NULL",,,,
,"Standardize","MS","å-a ć-č đ-dž ď-dь ė-e è-e ę-e ı- ľ-l ŀ-l ń-n ò-o ȯ-o ŕ-r ṙ-r ś-s ť-t ų-u ź-z","map",,,,,,,
,"Mistakes","M","y-u j-dž č-c š-s ž-z","map",,,,,,,
"SECTION","По частям речи",,,,,,,,,,
,"Гл: -овати","E","ovati\b","regexp","v.",,"ovati","irovati",,,
,"Прил. -ован-","E","ovan","regexp","adj.",,"ovan","irovan",,,
,"Сущ. -ован-","E","ovan","regexp","noun",,"ovan","irovan",,,
,"Инфинитив (чь)","E","[kg]ti\b","regexp","v.",,"čь",,,,
,"Инфинитив (ь-ти)","SE","ti\b","regexp","v.",,"tь","ti",,,
,"Инфинитив (ся)","SE"," (se|sьa)\b","regexp","v.",,"$1",,,,
,"Прил.: -ческий","SE","čny\b","regexp","adj.",,"českij","čnyj",,,
,"Прил.: -цкий","SE","čsky\b","regexp","adj.",,"ckij",,,,
,"Прил.: -ая","E","([aeiouy])na\b","regexp","f.",,"$1nnaja","$1naja",,,
,"Удвоение НН","SE","([aeiouy])n([aeiyo])\b","regexp","adj.,noun",,"$1nn$2","$1n$2",,,
,"Мягкие прилагательные","E","ji\b","regexp","adj.,m.",,"ij",,,,
,"Твердые прилагательные","E","y\b","regexp","adj.,m.",,"yj","ij","oj",,
"SECTION","Кириллизација",,,,,,,,,,
,"Yot-Glas","SE","([aeiouy])j([ei])","regexp",,,"$1$2",,,,
,"Yot-Ja","SE","([^aåeėioȯuųy])ja","regexp",,,"$1я","$1ъя",,,
,"Yot-Ije","SE","ьje","regexp",,,"ье","ие",,,
,"Yot-Je","SE","([^aåeėioȯuųyь])je","regexp",,,"$1ье","$1ъе","$1е",,
,"Yot-JiEnd","SE","([^aåeėioȯuųyь])ji\b","regexp","adj.",,"$1ий",,,,
,"Yot-Ji","SE","([^aåeėioȯuųyь])ji","regexp",,,"$1ьи","$1и",,,
,"Yot-Jo","SE","([^aåeėioȯuųyь])jo","regexp",,,"$1ъё","$1ьо",,,
,"Yot-Ju","SE","([^aåeėioȯuųyь])ju","regexp",,,"$1ю","$1ъю",,,
,"Yot-Jy","SE","([^aåeėioȯuųyь])jy","regexp",,,"$1ы",,,,
,"Cyrl-Standard","MSE","a-а b-б c-ц č-ч d-д e-е f-ф g-г h-х i-и j-й k-к l-л m-м n-н o-о p-п r-р s-с š-ш t-т u-у v-в y-ы z-з ž-ж","map",,,,,,,
,"Губная","E","([бпвмф])ъя","regexp",,,"$1ля","$1ъя",,,
,"Йотация","MSE","ьа-я ьо-ё ьу-ю йа-я йя-я йо-ё йу-ю йю-ю йе-е","map",,,,,,,
,"Щ","MSE","[сш]ч","regexp",,,"щ",,,,
"SECTION","Эвристики",,,,,,,,,,
,"Перестановка местами","R","(\S+)(?:\s+)(\S+)","regexp",,,"$1 $2","$2 $1",,,
,"Обезударивание","R","[́̀]","regexp",,,"NULL",,,,
,"Обезэкивание","R","э","regexp",,,"е",,,,
,"Обезёкивание","MSER","ё","regexp",,,"е",,,,
,"Оглушение","H","б-п в-ф г-х к-х д-т з-с ж-ш","map",,,,,,,
,"Обезеривание","H","ъ- ь-","map",,,,,,,
,"Затвердевание","H","ь|ъ","regexp",,,"́",,,,
,"Обезгласивание","H","(\S)([аеийоуыэюя])","regexp",,,"$1",,,,
,"Уполовинивание","H","(\S)\1+","regexp",,,"$1",,,,
