disabled,name,flavorizationLevel,match,modifiers,partOfSpeech,genesis,replacement1,replacement2,replacement3,replacement4,replacement5
,Ignore case,MSER,.,lowerCase,,,,,,,
SECTION,Prefixes,,,,,,,,,,
,Alteration (vòz-),E,vòz(?=$|\S),regexp,,,vòz,pod,vz,,
,Alteration (pod-),E,pod(?=$|\S),regexp,,,pod,po,,,
,Alteration (v-),E,(?=^|\s)v,regexp,,,v,u,,,
,Unvoicing (-d-),E,(po|na)d(?![bdg]),regexp,,,$1d,$1t,,,
,Unvoicing (-z-),E,(i|rå|u|vò)z(?![bdg]),regexp,,,$1z,$1s,,,
SECTION,Suffixes,,,,,,,,,,
,Alteration (-ova-),E,(?!^|\s)ova(?!$|\s),regexp,,,ova,ira,iva,a,
SECTION,Roots,,,,,,,,,,
,Transposition (kto-tko),E,kt(?=[aåeěėęijoȯuųy]),regexp,,,kt,tk,,,
,Transposition (vse-sve),E,vs(?=[aåeěėęijoȯuųy]),regexp,,,vs,sv,,,
,Alteration (-gda-),E,gd,regexp,,,gd,d,,,
SECTION,Nouns,,,,,,,,,,
,Feminization,E,([^aåeěėęijoȯuųy])(?=$|\s),regexp,m.,,$1,$1a,,,
,Alteration (-telj),E,telj(?=$|\s),regexp,m.,,telj,č,,,
,Alteration (-nik),E,ik(?=$|\s),regexp,m.,,ik,ar,čar,ičar,
,Reduction (-ec),E,[eè]c(?=$|\s),regexp,m.,,ac,,,,
,Expansion (-tòr),E,tr(?=$|\s),regexp,m.,,tòr,,,,
,Masculinization,E,([aåeěėęijoȯuųy])(?=$|\s),regexp,"f.,n.",,$1,NULL,,,
,Alteration (-nja),E,nja(?=$|\s),regexp,f.,,nja,nica,,,
,Alteration (-enıje),E,enı,regexp,,,enı,anı,,,
SECTION,Adjectives,,,,,,,,,,
,Alterate ending,E,(ičny|evy|č?sky)(?=$|\s),regexp,adj.,,$1,sky,čny,čky,
,Alteration (-ky),E,([^aåeěėęijoȯuųy])ky(?=$|\s),regexp,adj.,,$1ky,$1ak,,,
,Alteration (-ny),E,([^aåeěėęijoȯuųy])ny(?=$|\s),regexp,adj.,,$1ny,$1an,$1ky,,
,Alteration (-y),E,(?!k)y(?=$|\s),regexp,adj.,,y,NULL,,,
SECTION,Adverbs,,,,,,,,,,
,Zero ending,E,a(?=$|\s),regexp,adv.,,a,NULL,,,
SECTION,Verbs,,,,,,,,,,
,Alteration (-jati),E,j(ati)(?=$|\s),regexp,v.,,j$1,v$1,iv$1,,
,Alteration (-ati),E,ati(?=$|\s),regexp,v. ipf.,,ati,avati,,,
SECTION,Phonetical changes,,,,,,,,,,
,-l → -o,E,l(?=$|\s),regexp,,,l,o,,,
,-l(j) → -o (other cases),E,lj?([mvn]|\b),regexp,,,l$1,o$1,,,
,collapse to ć,E,(dt|kt|šn),regexp,,,$1,ć,,,
,-zdn-,E,zdn,regexp,,,zdn,zn,,,
,-rdc-,E,rdc,regexp,,,rdc,rc,,,
,T-D,E,ť,regexp,,,t,d,,,
,Unused etymology,E,å-a d́-d ę-e ė-ě ĺ-l ľ-l ń-n ŕ-r ś-s ź-z ı- ù-u ’-,map,,,,,,,
,Big Yus,E,ų,regexp,,,u,a,,,
,Muffled (-j-),E,([bpvmf])j,regexp,,,$1j,$1lj,,,
,ŠČ-ŠT,E,šč,regexp,,,št,,,,
,DJ,E,dj,regexp,,,dj,đ,,,
,è reduction,E,è,regexp,,,e,a,,,
,H (silent),E,h,regexp,,,h,NULL,,,
,Syllabic L,E,ŀ,regexp,,,l,u,,,
,Hard Jer,E,[òȯ],regexp,,,o,a,,,
,K-H,E,k,regexp,,,k,h,,,
,DŽ,SE,dž,regexp,,,dž,đ,,,
,Yat,SE,[ěė],regexp,,,ě,i,,,
,Standardize,MS,å-a ć-č ď-d ė-e ě-e è-e ę-e ı- ľ-lj ń-nj ŕ-r ṙ-r ś-s ź-z,map,,,,,,,
,Cyrl-Standard,MSE,a-а b-б c-ц ć-ћ č-ч d-д đ-ђ e-е ě-е f-ф g-г h-х i-и j-ј k-к l-л lj-љ m-м n-н nj-њ o-о ò-а ȯ-а p-п r-р s-с š-ш t-т u-у v-в y-и z-з ž-ж,map,,,,,,,
