disabled,name,flavorizationLevel,match,modifiers,partOfSpeech,genesis,replacement1,replacement2,replacement3,replacement4,replacement5
,ець,E,èc,regexp,,,eć,,,,
,у-в,E,ù,regexp,,,v,u,,,
,y-yj,E,y\b,regexp,adj.,,yj,,,,
,ji-ij,E,ji\b,regexp,adj.,,ij,,,,
,de-Janizator,MSE,ḓ- è-e ı-i ŀ-l ò-ȯ ù-u ṙ-r ’-,map,,,,,,,
,ORO,E,(\S)rå,regexp,,,$1oro,$1ro,,,
,OLO,E,(\S)lå,regexp,,,$1olo,$lo,,,
,Jat-R,E,(\S)rě,regexp,,,$1ere,$1re,,,
,Jat-L,E,(\S)lě,regexp,,,$1ele,$1le,$1olo,,
,Etymological,E,å-o ć-č đ-ž đ-dь ė-e ę-e ĺ-lь ń-nь ȯ-o ŕ-rь ś-sь ť-tь ų-u ź-zь,map,,,,,,,
,Standardize,MS,å-a ć-č đ-dž ď-d ė-e ę-e ľ-l ń-n ò-o ȯ-o ŕ-r ṙ-r ś-s ť-t ų-u ź-z,map,,,,,,,
,Ukr-GH,E,h,regexp,,,h,g,,,
,Ukr-IY,MSE,i,regexp,,,i,y,,,
,ova-uva,SE,ovat,regexp,,,uvat,ovat,,,
,Jat,SE,ě,regexp,,,i,e,,,
,Cyrl-Ukr,MSE,a-а b-б c-ц č-ч d-д e-е f-ф g-г h-х i-і j-й k-к l-л m-м n-н o-о p-п r-р s-с š-ш t-т u-у v-в y-и z-з ž-ж,map,,,,,,,
,Disable-G_,R,ґ,regexp,,,г,,,,
