id,isv,translations,helperWords,match,?min,?avg,?max,Rmin,Rmax,comments
5101,a tako?e,"oraz, a tak?e",,,,,,,,
1855,a,a,,,,,,,,
24020,abak,"abak, abakus",,,,,,,,
6114,aba?ur,aba?ur,,,,,,,,
35658,abdikacija,abdykacja,,,,,,,,
11,abdikovati,abdykowa?,,,,,,,,
35691,abeceda,abecad?o,,,,,,,,
24026,Abhaz,Abchaz,,,,,,,,
6165,Abhazija,Abchazja,,,,,,,,
36565,abhazsky,abchaski,,,,,,,,
24029,ablativ,ablatyw,,,,,,,,
6375,abo,"albo, lub",,,,,,,,
24031,abolicionist,abolicjonista,,,,,,,,
24032,abolicionizm,abolicjonizm,,,,,,,,
34768,abonement,"abonament, prenumerata, bilet okresowy",,,,,,,,
6117,abonent,"abonent, prenumerator",,,,,,,,
6119,abonovati,"abonowa?, prenumerowa?",,,,,,,,
24038,abort,aborcja,,,,,,,,
24039,abrakadabra,abrakadabra,,,,,,,,
24042,abrikos,morela,,,,,,,,
24044,absces,ropie?,,,,,,,,
24045,abscisa,odci?ta,,,,,,,,
15,absencija,nieobecno??,,,,,,,,
24047,absint,absynt,,,,,,,,
24050,absolutizm,absolutyzm,,,,,,,,
6123,absolutno,absolutnie,,,,,,,,
6120,absolutny,"absolutny, kompletny, zupe?ny",,,,,,,,
24054,absorbcija,absorpcja,,,,,,,,
19625,absorbovati,"absorbowa?, poch?ania?",,,,,,,,
24056,abstrahovati,abstrahowa?,,,,,,,,
19626,abstrakcija,abstrakcja,,,,,,,,
35132,abstrakt,"abstrakt, streszczenie",,,,,,,,
19627,abstraktny,abstrakcyjny,,,,,,,,
6124,absurd,"absurd, niedorzeczno??",,,,,,,,
35784,absurdnos?,absurdalno??,,,,,,,,
6125,absurdny,"absurdalny, niedorzeczny",,,,,,,,
1986,aby,"aby, ?eby",,,,,,,,
17101,a?e,"aczkolwiek, chocia?",,,,,,,,
35331,a?ekoli,"aczkolwiek, chocia?",,,,,,,,
24065,adad?o,adagio (muzyka),,,,,,,,
24067,adamovo jabl?ko,jab?ko Adama,,,moderate,,,,,
24068,adaptacija,"adaptacja, przysposobienie",,,moderate,,,,,
24069,adapter,"adapter, przej?ci?wka",,,moderate,,,,,
24070,adaptovati,adaptowa?,,,,,,,,
24071,adekvatny,"adekwatny, wystarczaj?cy, zadowalaj?cy",,,,,,,,
6126,adept,"stronnik, zwolennik",,,,,,,,
24076,adjutant,pomocnik,,,,,,,,
2848,administracija,administracja,,,,,,,,
17108,administrativny,administracyjny,,,,,,,,
96,administrator,administrator,,,,,,,,
24081,administrovati,zarz?dza?,,,,,,,,
24082,admiral,admira?,,,,,,,,
24084,admira?stvo,admiralicja,,,,,,,,
35592,adopcija,adopcja,,,,,,,,
19628,adoptovati,adoptowa?,,,,,,,,
24086,adrenalin,adrenalina,,,,,,,,
17109,adres,adres,,,,,,,,
248,adresa,adres,,,,,,,,
24089,adresat,adresat,,,,,,,,
4540,adresovati,adresowa?,,,,,,,,
36739,Adriati?sko morje,Morze Adriatyckie,,,,,,,,
24093,adventist,adwentysta,,,,,,,,
97,advokat,adwokat,,,,,,,,
24096,advokatura,adwokatura,,,,,,,,
36566,Ad?arija,Ad?aria,,,,,,,,
36348,aerodinami?ny,aerodynamiczny,,,,,,,,
36349,aerodinamika,aerodynamika,,,,,,,,
33084,aerodrom,lotnisko,,,,,,,,
3423,aeronavti?ny,"aeronautyczny, lotniczy",,,,,,,,
3424,aeronavtika,"aeronautyka, lotnictwo",,,,,,,,
6129,aeroplan,samolot,,,,,,,,
99,aeroport,lotnisko,,,,,,,,
19629,afazija,afazja,,,,,,,,
19630,afektivny,"czu?y, afektywny",,,,,,,,
35513,afera,"afera, romans",,,,,,,,
5754,Afganistan,Afganistan,,,,,,,,
5755,afgansky,afga?ski,,,,,,,,
36756,aforizm,aforyzm,,,,,,,,
4743,Afrika,Afryka,,,,,,,,
36719,Afrikan?c,Afrykanin,,,,,,,,
36720,Afrikanka,Afrykanka,,,,,,,,
32850,afrikansky mr?vojed,mr?wnik afryka?ski,,,,,,,,
106,afrikansky,afryka?ski,,,,,,,,
24102,Afroamerikanec,Afroamerykanin,,,,,,,,
