id,isv,translations,helperWords,match,?min,?avg,?max,Rmin,Rmax,comments
5101,a tako?e,а також,,,,,,,,
1855,a,"і, та, але",,,,,,,,
24020,abak,"рахівниця, абак",,,,,,,,
6114,aba?ur,абажур,,,,,,,,
35658,abdikacija,"відречення, зречення",,,,,,,,
11,abdikovati,відрекатися,,,,,,,,
35691,abeceda,"абетка, алфавіт (зазвичай латинка)",,,,,,,,
24026,Abhaz,абхаз,,,,,,,,
6165,Abhazija,Абхазія,,,,,,,,
36565,abhazsky,абхазький,,,,,,,,
24029,ablativ,"аблатив, відкладний відмінок",,,,,,,,
6375,abo,або,,,,,,,,
24031,abolicionist,аболіціоніст,,,,,,,,
24032,abolicionizm,аболіціонізм,,,,,,,,
34768,abonement,"підписка, абонемент",,,,,,,,
6117,abonent,"абонент, передплатник",,,,,,,,
6119,abonovati,"підписуватись, передплачувати, брати участь",,,,,,,,
24038,abort,аборт,,,,,,,,
24039,abrakadabra,абракадабра,,,,,,,,
24042,abrikos,абрикос,,,,,,,,
24044,absces,абсцес,,,,,,,,
24045,abscisa,абсциса,,,,,,,,
15,absencija,відсутність,,,,,,,,
24047,absint,абсент,,,,,,,,
24050,absolutizm,абсолютизм,,,,,,,,
6123,absolutno,абсолютно,,,,,,,,
6120,absolutny,"абсолютний, повний, сущий",,,,,,,,
24054,absorbcija,"поглинання, абсорбція",,,,,,,,
19625,absorbovati,"поглинати,  абсорбувати",,,,,,,,
24056,abstrahovati,абстрагувати,,,,,,,,
19626,abstrakcija,абстракція,,,,,,,,
35132,abstrakt,"реферат, резюме, витяг, виписка",,,,,,,,
19627,abstraktny,абстрактний,,,,,,,,
6124,absurd,"абсурд, нісенітниця, безглуздість",,,,,,,,
35784,absurdnos?,абсурдність,,,,,,,,
6125,absurdny,"абсурдний, безглуздий",,,,,,,,
1986,aby,"щоб, для того щоб, з тим щоб",,,,,,,,
17101,a?e,"хоча, хоч",,,,,,,,
35331,a?ekoli,"хоча, хоч, навіть при тому, що",,,,,,,,
24065,adad?o,адажіо,,,,,,,,
24067,adamovo jabl?ko,"борлак, кадик, виступ гортані, адамове яблуко",,,moderate,,,,,
24068,adaptacija,"адаптація, пристосовність",,,moderate,,,,,
24069,adapter,адаптер,,,moderate,,,,,
24070,adaptovati,адаптувати,,,,,,,,
24071,adekvatny,"адекватний, той що задовольняє",,,,,,,,
6126,adept,"адепт, прихильник, послідовник",,,,,,,,
24076,adjutant,ад'ютант,,,,,,,,
2848,administracija,адміністрація,,,,,,,,
17108,administrativny,адміністративний,,,,,,,,
96,administrator,адміністратор,,,,,,,,
24081,administrovati,адмініструвати,,,,,,,,
24082,admiral,адмірал,,,,,,,,
24084,admira?stvo,адміралтейство,,,,,,,,
35592,adopcija,"прийняття, усиновлення",,,,,,,,
19628,adoptovati,"прийняти, усиновити",,,,,,,,
24086,adrenalin,адреналін,,,,,,,,
17109,adres,адреса,,,,,,,,
248,adresa,адреса,,,,,,,,
24089,adresat,адресат,,,,,,,,
4540,adresovati,адресувати,,,,,,,,
36739,Adriati?sko morje,Адріатичне море,,,,,,,,
24093,adventist,адвентист,,,,,,,,
97,advokat,адвокат,,,,,,,,
24096,advokatura,адвокатура,,,,,,,,
36566,Ad?arija,Аджарія,,,,,,,,
36348,aerodinami?ny,аеродинамічний,,,,,,,,
36349,aerodinamika,аеродинаміка,,,,,,,,
33084,aerodrom,"аеродром, летовище",,,,,,,,
3423,aeronavti?ny,повітроплавний,,,,,,,,
3424,aeronavtika,повітроплавання,,,,,,,,
6129,aeroplan,"аероплан, літак",,,,,,,,
99,aeroport,"аеропорт, летовище",,,,,,,,
19629,afazija,афазія,,,,,,,,
19630,afektivny,"емоційний, чутливий, афективний",,,,,,,,
35513,afera,"афера, перелюб, зрада",,,,,,,,
5754,Afganistan,Афганістан,,,,,,,,
5755,afgansky,афганський,,,,,,,,
36756,aforizm,афоризм,,,,,,,,
4743,Afrika,Африка,,,,,,,,
36719,Afrikan?c,Африканець,,,,,,,,
36720,Afrikanka,Африканка,,,,,,,,
32850,afrikansky mr?vojed,африканський мурахоїд,,,,,,,,
106,afrikansky,африканський,,,,,,,,
24102,Afroamerikanec,афро-американець,,,,,,,,
36283,afrodiziak,афродизіак,,,,,,,,
24105,agava,"агава, американський столітник",,,,,,,,
113,agencija,агенція,,,,,,,,
24107,agent,агент,,,,,,,,
24110,#agentura,агентура,,,,,,,,
24111,agitacija,агітація,,,,,,,,
24112,agitator,агітатор,,,,,,,,
24113,agitka,"агітка, агітаційна листівка, прокламація",,,,,,,,
24114,agitovati,агітувати,,,,,,,,
35785,aglomeracija,агломерація,,,,,,,,
19631,aglutinacija,аглютинація,,,,,,,,
24116,aglutinativny,аглютинативний,,,,,,,,
24118,agnosticizm,агностицизм,,,,,,,,
24119,agnostik,агностик,,,,,,,,
24120,agonija,агонія,,,,,,,,
24121,agonizovati,"агонізувати, конати",,,,,,,,
24124,agrarny,аграрний,,,,,,,,
24125,agregat,агрегат,,,,,,,,
24127,agresija,агресія,,,,,,,,
24128,agresivny,агресивний,,,,,,,,
24129,agresor,агресор,,,,,,,,
24130,agrikultura,"землеробство, сільське господарство",,,,,,,,
24131,agronom,агроном,,,,,,,,
24132,agronomi?ny,"агрономічний, агротехнічний",,,,,,,,
24133,agronomija,агрономія,,,,,,,,
24134,ah,ах,,,,,,,,
24135,aha,ага,,,,,,,,
4886,ahoj,"привіт, aгов",,,,,,,,
24136,aj,"ай!, ой!",,,,,,,,
24137,ajsberg,айсберг,,,,,,,,
24138,akacija,акація,,,,,,,,
16262,akademi?sky,академічний,,,,,,,,
4639,akademija,академія,,,,,,,,
24141,akademik,академік,,,,,,,,
34994,aka?je,акання,,,,,,,,
6130,akcent,"акцент, наголос (акцент)",,,,,,,,
24148,akcentovati,"акцентувати, підкреслити, зазначити",,,,,,,,
24149,akcentuacija,"акцентування, акцентуація",,,,,,,,
4951,akceptacija,"прийняття, прийом",,,,,,,,
111,akceptovati,прийняти,,,,,,,,
115,akcija,акція (цінний папір),,,,,,,,
2849,akcija,дія,,,,,,,,
24152,akcioner,акціонер,,,,,,,,
24153,akcionerny kapital,"акціонерний капітал, пайовий капітал",,,,,,,,
24154,akciz,акциз,,,,,,,,
24155,aklimatizacija,акліматизація,,,,,,,,
24156,aklimatizovati,акліматизувати,,,,,,,,
6387,akne,"вугор, чиряк, акне",,,,,,,,
17112,ako by,"начебто, нібито, немовби",,,,,,,,
17113,ako by,якщо б,,,,,,,,
17114,ako by,"якби, у разі, у випадку",,,,,,,,
6133,ako li,якщо,,,,,,,,
23672,ako ne,"якщо б не, якби не",,,,,,,,
17076,ako,"якщо, коли",,,,,,,,
17110,ako,як,,,,,,,,
32593,akolada,аколада (муз.),,,,,,,,
36472,akolada,"аколада, освята в лицарі",,,,,,,,
24161,akomodacija,акомодація,,,,,,,,
24163,akompanement,"супровід, акомпанемент",,,,,,,,
24164,akompaniator,акомпаніатор,,,,,,,,
24165,akompanovati,"акомпанувати, супроводжувати",,,,,,,,
24167,akord,акорд,,,,,,,,
24168,akordeon,акордеон,,,,,,,,
24169,akr,ар,,,,,,,,
24173,akrobat,акробат,,,,,,,,
34769,akrobatika,акробатика,,,,,,,,
24174,akrobatka,акробатка,,,,,,,,
24175,akrobatsky,акробатичний,,,,,,,,
33563,aksamit,оксамит,,,,,,,,
33564,aksamitny,оксамитовий,,,,,,,,
32543,aksia?ny,"осьові, аксіальні",,,,,,,,
24180,aksioma,аксіома,,,,,,,,
119,akt,"вчинок, подвиг",,,,,,,,
2307,aktivist,активіст,,,,,,,,
24189,aktivistka,активістка,,,,,,,,
35786,aktivitet,активність,,,,,,,,
16921,aktivno,активно,,,,,,,,
5142,aktivnos?,активність,,,,,,,,
43,aktivny,активний,,,,,,,,
24190,aktivovati,активувати,,,,,,,,
6134,aktor,актор,,,,,,,,
24194,aktorka,акторка,,,,,,,,
36683,aktorsky,акторський,,,,,,,,
24197,aktrisa,актриса,,,,,,,,
34899,aktualizacija,"актуалізація, оновлення",,,,,,,,
34900,aktualizovati,"оновлювати, робити актуальним",,,,,,,,
17117,aktua?nos?,"актуальність, своєчасність",,,,,,,,
5125,aktua?ny,"актуальний, своєчасий",,,,,,,,
20330,akula,акула,,,,,,,,
24201,akumulacija,накопичення,,,,,,,,
24202,akumulator,акумулятор,,,,,,,,
24203,akumulovati,накопичити,,,,,,,,
24204,akurat,точно,,,,,,,,
24205,akuratnos?,точність,,,,,,,,
24206,akuratny,точний,,,,,,,,
24207,akusti?ny,акустичний,,,,,,,,
24208,akustika,акустика,,,,,,,,
24210,aku?erka,акушерка,,,,,,,,
24211,aku?ersky,акушерський,,,,,,,,
24212,aku?erstvo,акушерство,,,,,,,,
24213,akut,акут,,,,,,,,
16922,akuzativ,"знахідний (відмінок), звинувачувальний",,,,,,,,
24216,akvamarin,аквамарин,,,,,,,,
24217,akvarelist,аквареліст,,,,,,,,
24218,akvarelj,акварель,,,,,,,,
24219,akvarium,акваріум,,,,,,,,
24220,akvedukt,акведук,,,,,,,,
24223,alabastr,алебастр,,,,,,,,
24224,alarm,"тривога, сигнал тривоги",,,,,,,,
133,Albanec,албанець,,,,,,,,
4732,Albanija,Албанія,,,,,,,,
6388,Albanka,албанська жінка,,,,,,,,
142,albansky,албанський,,,,,,,,
23563,albatros,альбатрос,,,,,,,,
24248,album,альбом,,,,,,,,
134,ale,але,,,,,,,,
24229,alegori?ny,алегоричний,,,,,,,,
5856,alegorija,алегорія,,,,,,,,
24231,aleja,алея,,,,,,,,
36743,alergi?ny,алергічний,,,,,,,,
36742,alergija,алергія,,,,,,,,
45,alfabet,"алфавіт, абетка",,,,,,,,
3968,alfabeti?ny,алфавітний,,,,,,,,
32939,alga,водорость,,,,,,,,
23490,algebra,алгебра,,,,,,,,
23492,algoritm,алгоритм,,,,,,,,
24238,alhimija,алхімія,,,,,,,,
24239,alhimik,алхімік,,,,,,,,
107,alians,альянс,,,,,,,,
24240,alibi,алібі,,,,,,,,
24241,aligator,алігатор,,,,,,,,
24244,alimenty,аліменти,,,,,,,,
24245,aliteracija,алітерація,,,,,,,,
24267,aljur,"привабливість, приваба, принадність",,,,,,,,
4647,alkohol,алкоголь,,,,,,,,
4648,alkoholi?ny,алкогольний,,,,,,,,
23277,alkoholik,алкоголік,,,,,,,,
24274,alkoholizm,алкоголізм,,,,,,,,
24253,alkov,альков,,,,,,,,
24279,allegro,алегро,,,,,,,,
24254,almanah,альманах,,,,,,,,
24281,almaz,алмаз,,,,,,,,
24282,alo,алло,,,,,,,,
24283,aloe,алое,,,,,,,,
15759,alpijsky,альпійський,,,,,,,,
5757,alpinist,альпініст,,,,,,,,
24256,alpinizm,альпінізм,,,,,,,,
59,Alpy,Альпи,,,,,,,,
23443,alt,"альт, віола",,,,,,,,
32998,alt,альт,,,,,,,,
35767,"altana, altanka",альтанка,,,,,,,,
24259,alternativa,альтернатива,,,,,,,,
17119,alternativny,альтернативний,,,,,,,,
24261,altruist,альтруїст,,,,,,,,
24262,altruisti?ny,альтруїстичний,,,,,,,,
24263,altruizm,альтруїзм,,,,,,,,
22608,aluminij,алюміній,,,,,,,,
24265,aluminijevy,алюмінієвий,,,,,,,,
35536,aluzija,"алюзія, натяк",,,,,,,,
24269,alveolarny,альвеолярний,,,,,,,,
5919,Al?irija,Алжир,,,,,,,,
35594,amater,аматор,,,,,,,,
36059,ambar,"комора, стодола, клуня",,,,,,,,
127,ambasada,"амбасада, посольство",,,,,,,,
24290,ambicija,"амбіція, прагнення",,,,,,,,
32530,ambiciozny,амбіційний,,,,,,,,
36759,ambivalentnos?,амбівалентність,,,,,,,,
36758,ambivalentny,амбівалентний,,,,,,,,
24291,ambrazura,"люк, ілюмінатор",,,,,,,,
24294,ameba,амеба,,,,,,,,
131,Amerika,Америка,,,,,,,,
136,Amerikanec,американець,,,,,,,,
6400,Amerikanka,американка,,,,,,,,
6404,Amerikanska Samoa,Американське Самоа,,,,,,,,
12580,Amerikanske D?vi?je Ostrovy,Віргінські острови США,,,,,,,,
52,amerikansky,американський,,,,,,,,
24296,ametist,аметист,,,,,,,,
23198,amfetamin,амфетамін,,,,,,,,
23197,amfiteatr,амфітеатр,,,,,,,,
19632,amin,амінь,,,,,,,,
24298,amnestija,амністія,,,,,,,,
24299,amnestovati,амнестувати,,,,,,,,
36331,amnezija,амнезія,,,,,,,,
24301,amonij,амоній,,,,,,,,
24302,amonijak,аміак,,,,,,,,
24304,amora?ny,аморально,,,,,,,,
24305,amortizacija,амортизація,,,,,,,,
3835,amortizator,амортизатор,,,,,,,,
24307,amortizovati,амортизувати,,,,,,,,
34096,amputacija,ампутація,,,,,,,,
34095,amputovati,ампутувати,,,,,,,,
36760,amulet,"амулет, талісман",,,,,,,,
32325,amunicija,"амуніція, боєприпаси",,,,,,,,
35336,anahroni?ny,анахронічний,,,,,,,,
35337,anahronizm,анахронізм,,,,,,,,
24309,analfabet,"неписьменний, неук",,,,,,,,
24310,analfabetizm,неписьменність,,,,,,,,
14440,analiti?no,аналітично,,,,,,,,
4172,analiti?ny,аналітичний,,,,,,,,
904,analitik,аналітик,,,,,,,,
4171,analiza,аналіз,,,,,,,,
3969,analizovati,аналізувати,,,,,,,,
16411,ana?ny,анальний,,,,,,,,
23209,analogi?ny,аналогічний,,,,,,,,
23208,analogija,аналогія,,,,,,,,
32110,anamneza,анамнез,,,,,,,,
24311,ananas,ананас,,,,,,,,
5057,anarhija,анархія,,,,,,,,
5058,anarhist,анархіст,,,,,,,,
23491,anarhizm,анархізм,,,,,,,,
23494,anatomi?ny,анатомічний,,,,,,,,
23493,anatomija,анатомія,,,,,,,,
24312,Andora,Андора,,,,,,,,
5718,anekdota,анекдот,,,,,,,,
36190,aneksija,анексія,,,,,,,,
36191,aneksovati,анексувати,,,,,,,,
20331,anemi?ny,анемічний,,,,,,,,
20332,anemija,анемія,,,,,,,,
19633,anestezija,анестезія,,,,,,,,
36752,anestezija,"анестезія, знеболювання, знеболення, знечулення, наркоз",,,,,,,,
229,angel,"янгол, ангел",,,,,,,,
24314,anglicizm,англіцизм,,,,,,,,
20333,"Angli?an, Angli?anin",англієць,,,,,,,,
35052,Anglija,Англія,,,,,,,,
19634,anglijskoj?zy?ny,англомовний,,,,,,,,
23464,anglijsky ro?ek,англійський ріжок,,,,,,,,
2850,anglijsky,англійський,,,,,,,,
19635,anglosaksonsky,англо-саксонський,,,,,,,,
256,Angola,Ангола,,,,,,,,
36537,animacija,"анімація, мультиплікація ",,,,,,,,
36700,animovany film,"мультфільм, мультиплікаційний фільм, анімаційний фільм",,,,,,,,
36798,anis,аніс,,,,,,,,
3797,anketa,анкети,,,,,,,,
32722,anketa,"анкета, опитування",,,,,,,,
35755,anomalija,аномалія,,,,,,,,
3949,anonimny,анонімний,,,,,,,,
34753,antagonist,антагоніст,,,,,,,,
35738,antagonizm,антагонізм,,,,,,,,
4898,Antarktida,Антарктида,,,,,,,,
32494,antena,антена,,,,,,,,
16368,anti-,анти-,,,,,,,,
36753,antibiotik,антибіотик,,,,,,,,
16367,anti?nos?,"античність, давнина",,,,,,,,
16369,anti?ny,"античний, давній",,,,,,,,
17120,antihrist,антихрист,,,,,,,,
35717,antikvariat,"антикваріат, старожитності, антикварний магазин",,,,,,,,
32493,antilopa,антилопа,,,,,,,,
22629,antimon,сурма,,,,,,,,
35432,antipatija,антипатія,,,,,,,,
22808,antisemitizm,антисемітизм,,,,,,,,
36754,antit?lo,антитіла,,,,,,,,
35825,antologija,антологія,,,,,,,,
23495,antropologija,антропологія,,,,,,,,
4952,anulacija,"анулювання, cкасування",,,,,,,,
37,anulovati,"анулювати, скасувати",,,,,,,,
16250,anus,анус,,,,,,,,
19636,aorist,аорист,,,,,,,,
6263,aparat,апарат,,,,,,,,
39,apelacija,"апеляція, звернення",,,,,,,,
15689,apelacijny s?d,апеляційний суд,,,,,,,,
15690,apelacijny,апеляційний,,,,,,,,
15692,apelant,заявник,,,,,,,,
60,apelovati,"апелювати, звертатися",,,,,,,,
6422,apendektomija,апендектомія,,,,,,,,
15764,apendiks,апендикс,,,,,,,,
150,apetit,апетит,,,,,,,,
36574,aplikacija,додаток (програма),,,,,,,,
15240,aplodova?je,завантаження,,,,,,,,
5624,aplodovati,завантажити,,,,,,,,
36316,apokalipsa,апокаліпсис,,,,,,,,
36315,apokalipti?ny,апокаліптичний,,,,,,,,
32728,aposteriorny,апостеріорний,,,,,,,,
6167,apostol,апостол,,,,,,,,
32556,apostrof,апостроф,,,,,,,,
4026,aprilj,квітень,,,,,,,,
32727,apriorny,апріорі,,,,,,,,
35575,Arab,араб,,,,,,,,
35576,Arabka,арабка,,,,,,,,
2166,arabsky,арабський,,,,,,,,
36413,aran?evati,аранжувати,,,,,,,,
36414,aran?man,аранжування,,,,,,,,
19637,arbiter,"арбітр, суддя (у спорті)",,,,,,,,
36761,arbitra?,арбітраж,,,,,,,,
38,arcivojevoda,ерцгерцог,,,,,,,,
5789,are?t,арешт,,,,,,,,
122,are?tovati,арештувати,,,,,,,,
22388,Argentina,Аргентина,,,,,,,,
22389,argentinsky,Аргентинський,,,,,,,,
22614,argon,аргон,,,,,,,,
19638,argument,аргумент,,,,,,,,
19639,argumentacija,аргументація,,,,,,,,
19640,argumentovati,аргументувати,,,,,,,,
4382,arhai?ny,архаїчний,,,,,,,,
4383,arhaizm,архаїзм,,,,,,,,
4419,arheolog,археолог,,,,,,,,
4420,arheologi?ny,археологічний,,,,,,,,
4418,arheologija,археологія,,,,,,,,
6166,arhiepiskop,архієпископ,,,,,,,,
36677,arhipelag,архіпелаг,,,,,,,,
4893,arhitekt,архітектор,,,,,,,,
4894,arhitektura,архітектура,,,,,,,,
35659,arhitekturny,архітектурний,,,,,,,,
35235,arhiv,архів,,,,,,,,
35281,arhivny,архівний,,,,,,,,
35236,arhivovati,архівувати,,,,,,,,
5721,aristokracija,"аристократія, шляхта",,,,,,,,
5720,aristokrat,"аристократ, шляхтич",,,,,,,,
5722,aristokrati?ny,"аристократичний, шляхетний",,,,,,,,
17124,aristokratka,"аристократка, шляхтичка",,,,,,,,
21256,aritmetika,арифметика,,,,,,,,
17126,arka,ковчег,,,,,,,,
23500,Arkti?ny okean,Північний Льодовитий Океан,,,,,,,,
5920,arkti?ny,арктичний,,,,,,,,
6206,Arktika,Арктика,,,,,,,,
5059,Armenija,Вірменія,,,,,,,,
5060,arm?nsky,Вірменський,,,,,,,,
123,armija,армія,,,,,,,,
1851,arogancija,"зарозумілість, пиха",,,,,,,,
35635,arogantny,зарозумілий,,,,,,,,
24324,aromat,аромат,,,,,,,,
22625,arsen,миш'як,,,,,,,,
34,arsenal,Арсенал,,,,,,,,
35705,artefakt,артефакт,,,,,,,,
15244,arterija,артерія,,,,,,,,
24325,artikulacija,артикуляція,,,,,,,,
24326,artilerija,артилерія,,,,,,,,
33,artist,"митець, артист, художник",,,,,,,,
15768,artisti?ny,артистичний,,,,,,,,
31843,as,туз (карти),,,,,,,,
24327,asfalt,асфальт,,,,,,,,
24328,asfaltobeton,асфальтобетон,,,,,,,,
36762,asimetri?ny,асиметричний,,,,,,,,
16263,asimilacija,асиміляція,,,,,,,,
6246,asimilovati,асимілювати,,,,,,,,
35787,asociacija,асоціація,,,,,,,,
19641,aspekt,аспект,,,,,,,,
21257,asteroid,астероїд,,,,,,,,
31854,astma,астма,,,,,,,,
22973,astrolog,астролог,,,,,,,,
16264,astrologi?ny,астрологічний,,,,,,,,
4895,astrologija,астрологія,,,,,,,,
24330,astronavt,астронавт,,,,,,,,
21258,astronom,астроном,,,,,,,,
16265,astronomi?ny,астрономічний,,,,,,,,
18,astronomija,астрономія,,,,,,,,
32,ataka,атака,,,,,,,,
3970,atakovati,атакувати,,,,,,,,
23503,ateist,атеїст,,,,,,,,
23502,ateizm,атеїзм,,,,,,,,
16923,atemati?ny,"атематичний, нетематичний (грам.)",,,,,,,,
23526,Atiny,Атени,,,,,,,,
23497,Atlanti?ny okean,Атлантичний Океан,,,,,,,,
35020,atlanti?ny,атлантичний,,,,,,,,
35093,atlet,"атлет, cпортсмен",,,,,,,,
35095,atleti?ny,атлетичний,,,,,,,,
35094,atletika,атлетика,,,,,,,,
35084,atmosfera,атмосфера,,,,,,,,
4661,atom,атом,,,,,,,,
23321,atomna bomba,атомна бомба,,,,,,,,
23184,atrakcija,"приваба, потяг",,,,,,,,
35788,atraktivny,привабливий,,,,,,,,
36065,atut,козир,,,,,,,,
36825,au!,"ой!, ох!",,,,,,,,
36757,aura,аура,,,,,,,,
36767,aureola,"авреоля, ореол, німб",,,,,,,,
36748,autist,аутист,,,,,,,,
36749,autisti?ny,аутистичний,,,,,,,,
36747,autizm,аутизм,,,,,,,,
24332,avangarda,авангард,,,,,,,,
24334,avanpost,форпост,,,,,,,,
24335,avans,заздалегідь,,,,,,,,
24337,avansovati,просуватися,,,,,,,,
24339,avansovy,"авансовий, попередній",,,,,,,,
24346,Avar,аварець,,,,,,,,
5766,avarija,аварія,,,,,,,,
24348,avarijny,аварійний,,,,,,,,
3053,avgust,серпень,,,,,,,,
62,aviacija,авіація,,,,,,,,
17133,aviakarta,квиток на літак,,,,,,,,
64,avialinija,авіалінія,,,,,,,,
24356,aviator,авіатор,,,,,,,,
233,avizo,авізо,,,,,,,,
36074,avokado,авокадо,,,,,,,,
