id,lemma,secondaryForm,partOfSpeech,etymology
1,oko,(oka/očese; pl. oči),n.,
2,opisati,(opiše),v.tr. pf.,
3,opera,,f.,I
4,nikto,,pron.indef.,
5,tęžky,,adj.,
6,veliky,,adj.,
7,osųđati,,v.tr. ipf.,
8,odinųd,,adv.,
10,olovo,,n.sg.,
11,abdikovati,,v.intr. ipf.,I
12,trava,,f.,
13,osnovyvati,,v.tr. ipf.,
14,ocěniti,,v.tr. pf.,
15,absencija,,f.sg.,I
16,želųdòk,,m.,
17,råzměniti,,v.tr. pf.,
18,astronomija,,f.sg.,I
20,dostavjati,,v.tr. ipf.,
22,tŀpa,,f.,
24,zapŀnjati,,v.tr. ipf.,
25,zaregistrovati,,v.tr. pf.,I
26,rotacija,,f.,I
27,råzličıje,,n.,
28,žiti,(žive),v.intr. ipf.,
29,časovy,,adj.,
30,krajno,,adv.,
31,programa,,f.,I
32,ataka,,f.,I
33,artist,,m.anim.,I
34,arsenal,,m.,I
35,elektrostancija,,f.,I
36,råzměr,,m.,
37,anulovati,,v.tr. ipf./pf.,I
38,arcivojevoda,,m.anim.,
39,apelacija,,f.,I
40,glåva,,f.,
41,råzočarovanıje,,n.,
43,aktivny,,adj.,I
44,pęta,,f.,
45,alfabet,,m.,I
46,protest,,m.,I
47,kategorija,,f.,I
48,profesor,,m.anim.,I
49,tęgnųti,,v.tr. ipf.,
50,sedmy,,num.ord.,
51,glųb,,m.,
52,amerikansky,,adj.,
53,električnosť,,f.sg.,I
54,odtųd,,adv.,
55,racionalizacija,,f.,I
56,dialog,,m.,I
58,glåsovati,,v.intr. ipf.,
59,Alpy,,f.pl.,
60,apelovati,,v.intr. ipf.,I
61,stoty,,num.ord.,
62,aviacija,,f.sg.,I
64,avialinija,,f.,I
65,v’hoditi,,v.intr. ipf.,
66,vųzky,,adj.,
67,hrèbetny mozòk,,m.,
68,gornolužičsky,,adj.,
69,gṙnųti,,v.tr. ipf.,
70,Aùstralija,,f.sg.,
71,poslušati,,v.tr. pf.,
72,sòdŕžati,,v.tr. pf.,
73,oni,"(jih, jim, njimi)",pron.pers.,
74,koza,,f.,
75,Aùstrija,,f.sg.,
76,Azerbajdžan,,m.sg.,
78,vųgṙsky,,adj.,
79,deševy,,adj.,
80,kritik,,m.anim.,I
81,kolaps,,m.,I
82,aùtobus,,m.,I
83,aùtomagistralj,,m.,I
86,s’protiviti sę,(+3),v.refl. pf.,
87,aùtor,,m.anim.,I
88,religiozny,,adj.,I
89,hlěb,,m.,
90,hlěv,,m.,
91,žrěti,(žre),v.tr. ipf.,
92,Azija,,f.sg.,
93,"vśakodenny, vśakodnevny",,adj.,
94,plåtno,,n.,
95,obvęzòk,,m.,
96,administrator,,m.anim.,I
97,advokat,,m.anim.,I
98,imigrant,,m.anim.,I
99,aeroport,,m.,I
100,pomoćny,,adj.,
101,čŕveny,,adj.,
103,pobrėžny,,adj.,
106,afrikansky,,adj.,
107,alians,,m.,I
108,osmnadsęť,,num.card.,
110,gnet,,m.sg.,
111,akceptovati,,v.tr. ipf.,I
112,pocělovati,,v.intr. pf.,
113,agencija,,f.,I
114,"už, uže",,adv.,
115,akcija,,f.,I
116,cicka,,f.,
118,jar,,m.,
119,akt,,m.,I
120,"kògda-nebųď, kògdy-nebųď",,adv.,
121,potvŕditi,,v.tr. pf.,
122,areštovati,,v.tr. ipf.,I
123,armija,,f.,I
124,zločinèc,,m.anim.,
125,dogovor,,m.,
127,ambasada,,f.,I
128,råzměstiti,,v.tr. pf.,
129,Jugoslavija,,f.sg.,
130,veliky palèc,,m.,
131,Amerika,,f.sg.,
132,odkydnųti,,v.tr. pf.,
133,Albanèc,,m.anim.,
134,ale,,conj.,
136,Amerikanèc,,m.anim.,
137,čęsto,,adv.,
138,kriza,,f.,I
139,procitovati,,v.tr. pf.,I
140,faulj,,m.,E
141,pisati,(piše),v.tr. ipf.,
142,albansky,,adj.,
143,kogo,,pron.int.,
144,ocěnjati,,v.tr. ipf.,
145,sŕbsky,,adj.,
146,oksid,,m.,I
148,suvenir,,m.,F
149,roza,,f.,
150,apetit,,m.sg.,F
151,obnavjati,,v.tr. ipf.,
152,Kyrgyzstan,,m.sg.,
153,balkon,,m.,I
154,barok,,m.sg.,I
155,inokto,,pron.indef.,
156,baza,,f.,
157,bavŀna,,f.sg.,
158,pokryvati,,v.tr. ipf.,
159,bariera,,f.,F
160,bytıje,,n.sg.,
161,naslědòk,,m.,
162,brutaľnosť,,f.,I
163,mebelj,,m.,I
164,meč,,m.,
165,katedrala,,f.,I
166,sego dnja,,adv.,
167,mlådèc,,m.anim.,
169,samit,,m.,E
170,sekunda,,f.,I
171,radio,,n.,I
172,raketa,,f.,I
173,oglåsiti,,v.tr. pf.,
174,radikaľny,,adj.,I
175,provokatorsky,,adj.,I
176,kašubsky,,adj.,
177,bezšumny,,adj.,
178,bezprecedentny,,adj.,I
179,běženèc,,m.anim.,
180,vòzråstly,,adj.,
181,odidti,(odide; odšèl),v.intr. pf.,
185,doľnolužičsky,,adj.,
187,seḓlo,,n.,
188,Irlandija,,f.sg.,
190,čij-nebųď,,pron.poss.,
192,bliznèc,,m.anim.,
193,blokovati,,v.tr. ipf.,I
195,noć,,f.,
196,široky,,adj.,
198,muzika,,f.,I
199,uvěriti,,v.tr. pf.,
200,uvěriti,,v.tr. pf.,
201,boljnica,,f.,
202,boljny,,adj.,
203,mahnųti,,v.intr. pf.,
204,material,,m.,I
205,liberaľny,,adj.,I
206,ideal,,m.,I
207,boŕba,,f.sg.,
208,bomba,,f.,I
209,Inguš,,m.anim.,
211,dělati,,v.tr. ipf.,
212,bogaty,,adj.,
213,zamòk,,m.,
214,brend,,m.,E
215,trud,,m.,
216,deklaracija,,f.,I
217,než,,conj.,
218,brėza,,f.,
219,brat,,m.anim.,
220,Malta,,f.sg.,
221,bråzda,,f.,
223,buda,,f.,
